country,Country Code,ATE
Iraq,IRQ,99.99200439
Ireland,IRL,100
Isle of Man,IMN,100
Israel,ISR,100
Italy,ITA,100
Jamaica,JAM,99.36762238
Japan,JPN,100
Jordan,JOR,100
Kazakhstan,KAZ,100
Kenya,KEN,69.69999695
Kiribati,KIR,90.03285217
"Korea, Dem. People's Rep.",PRK,49.97200012
"Korea, Rep.",KOR,100
Kosovo,XKX,100
Kuwait,KWT,100
Kyrgyz Republic,KGZ,99.87423706
Lao PDR,LAO,99.09208679
Late-demographic dividend,LTE,99.374115
Latin America & Caribbean,LCN,98.09402529
Latin America & Caribbean (excluding high income),LAC,97.92687872
Latin America & Caribbean (IDA & IBRD),TLA,98.04990734
Latvia,LVA,100
Least developed countries: UN classification,LDC,52.92900342
Lebanon,LBN,99.97486877
Lesotho,LSO,44.50020981
Liberia,LBR,23.10000038
Libya,LBY,68.64240265
Liechtenstein,LIE,100
Lithuania,LTU,100
Low & middle income,LMY,88.08602382
Low income,LIC,41.47666542
Lower middle income,LMC,89.05989968
Luxembourg,LUX,100
"Macao SAR, China",MAC,100
Madagascar,MDG,31.04000092
Malawi,MWI,11.19999981
Malaysia,MYS,100
Maldives,MDV,100
Mali,MLI,47.83627701
Malta,MLT,100
Marshall Islands,MHL,97.53820038
Mauritania,MRT,45.83003235
Mauritius,MUS,100
Mexico,MEX,99.59999847
"Micronesia, Fed. Sts.",FSM,81.2767334
Middle East & North Africa,MEA,97.23085259
Middle East & North Africa (excluding high income),MNA,96.75266929
Middle East & North Africa (IDA & IBRD),TMN,96.71312705
Middle income,MIC,93.47804742
Moldova,MDA,100
Monaco,MCO,100
Mongolia,MNG,97.2299118
Montenegro,MNE,100
Morocco,MAR,99.59999847
Mozambique,MOZ,29.67444992
Myanmar,MMR,68.35852814
Namibia,NAM,55.17708969
Nauru,NRU,100
Nepal,NPL,89.90000153
Netherlands,NLD,100
New Caledonia,NCL,100
New Zealand,NZL,100
Nicaragua,NIC,88.05832672
Niger,NER,18.97457123
Nigeria,NGA,55.40000153
North America,NAC,100
North Macedonia,MKD,100
Northern Mariana Islands,MNP,100
Norway,NOR,100
OECD members,OED,99.95255092
Oman,OMN,100
Other small states,OSS,78.13569122
Pakistan,PAK,74.12769318
Palau,PLW,100
Panama,PAN,95.81632996
Papua New Guinea,PNG,59.66297531
Paraguay,PRY,99.69999695
Peru,PER,95.55136108
Philippines,PHL,95.64508057
Poland,POL,100
Portugal,PRT,100
Post-demographic dividend,PST,99.99796373
Pre-demographic dividend,PRE,47.5468721
Puerto Rico,PRI,100
Qatar,QAT,100
Romania,ROU,100
Russian Federation,RUS,100
Rwanda,RWA,40.36860657
Samoa,WSM,99.19999695
San Marino,SMR,100
Sao Tome and Principe,STP,74.96720123
Saudi Arabia,SAU,100
Senegal,SEN,70.40000153
Serbia,SRB,99.80000305
Seychelles,SYC,100
Sierra Leone,SLE,22.70000076
Singapore,SGP,100
Sint Maarten (Dutch part),SXM,100
Slovak Republic,SVK,100
Slovenia,SVN,100
Small states,SST,82.21474614
Solomon Islands,SLB,69.80941772
Somalia,SOM,49.20000076
South Africa,ZAF,85
South Asia,SAS,94.04364038
South Asia (IDA & IBRD),TSA,94.04364038
South Sudan,SSD,6.707006931
Spain,ESP,100
Sri Lanka,LKA,99.75856781
St. Kitts and Nevis,KNA,100
St. Lucia,LCA,99.50218201
St. Martin (French part),MAF,100
St. Vincent and the Grenadines,VCT,100
Sub-Saharan Africa,SSF,47.1047724
Sub-Saharan Africa (excluding high income),SSA,47.10010705
Sub-Saharan Africa (IDA & IBRD),TSS,47.1047724
Sudan,SDN,53.96253967
Suriname,SUR,97.82541656
Sweden,SWE,100
Switzerland,CHE,100
Syrian Arab Republic,SYR,89.26921082
Tajikistan,TJK,99.63320923
Tanzania,TZA,37.65968704
Thailand,THA,99.90000153
Timor-Leste,TLS,90.79865265
Togo,TGO,52.36310959
Tonga,TON,98.40000153
Trinidad and Tobago,TTO,100
Tunisia,TUN,100
Turkey,TUR,100
Turkmenistan,TKM,99.90000153
Turks and Caicos Islands,TCA,100
Tuvalu,TUV,99.69999695
Uganda,UGA,41.29999924
Ukraine,UKR,100
United Arab Emirates,ARE,100
United Kingdom,GBR,100
United States,USA,100
Upper middle income,UMC,99.30921926
Uruguay,URY,99.90000153
Uzbekistan,UZB,100
Vanuatu,VUT,64.59018707
"Venezuela, RB",VEN,99.97681427
Vietnam,VNM,99.40000153
Virgin Islands (U.S.),VIR,100
West Bank and Gaza,PSE,100
World,WLD,90.01178471
"Yemen, Rep.",YEM,72.75107574
Zambia,ZMB,43
Zimbabwe,ZWE,46.78147507
,,
,,
,,
Data from database: Sustainable Development Goals (SDGs),,
Last Updated: 07/22/2022,,
